ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,Session1Onset.ACC,Session1Onset.CRESP,Session1Onset.DurationError,Session1Onset.OnsetDelay,Session1Onset.OnsetTime,Session1Onset.RESP,Session1Onset.RT,Session1Onset.RTTime,SessionDate,SessionTime,SessionTimeUtc,Block,Procedure[Block],Running[Block],Session2Onset.ACC,Session2Onset.CRESP,Session2Onset.DurationError,Session2Onset.OnsetDelay,Session2Onset.OnsetTime,Session2Onset.RESP,Session2Onset.RT,Session2Onset.RTTime,SessionBreak.OnsetTime,SessionsList,SessionsList.Cycle,SessionsList.Sample,Trial,CuedPrompt1.OnsetTime,CuedPrompt2.OnsetTime,MiniBlocks1,MiniBlocks1.Cycle,MiniBlocks1.Sample,MiniBlocks2,MiniBlocks2.Cycle,MiniBlocks2.Sample,Procedure[Trial],Running[Trial],UncuedPrompt1.OnsetTime,UncuedPrompt2.OnsetTime,SubTrial,Arrow1.ACC,Arrow1.CRESP,Arrow1.DurationError,Arrow1.OnsetDelay,Arrow1.OnsetTime,Arrow1.RESP,Arrow1.RT,Arrow1.RTTime,ArrowColor,Congruence,CorrectResp,Cue,Cue.ACC,Cue.CRESP,Cue.DurationError,Cue.OnsetDelay,Cue.OnsetTime,Cue.RESP,Cue.RT,Cue.RTTime,CuedStim1,CuedStim1.Cycle,CuedStim1.Sample,CuedStim2,CuedStim2.Cycle,CuedStim2.Sample,CuedStim3,CuedStim3.Cycle,CuedStim3.Sample,CuedStim4,CuedStim4.Cycle,CuedStim4.Sample,CueImage,JitterCue,JitterTrial,LeftImage,NonCuedStim1,NonCuedStim1.Cycle,NonCuedStim1.Sample,NonCuedStim2,NonCuedStim2.Cycle,NonCuedStim2.Sample,NonCuedStim3,NonCuedStim3.Cycle,NonCuedStim3.Sample,NonCuedStim4,NonCuedStim4.Cycle,NonCuedStim4.Sample,Procedure[SubTrial],RightImage,Running[SubTrial],Stimulus
POP_2,27009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">231735262625300</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,867860621,0,,-999999,6,30695,t,83492,114187,4/23/2014,15:21:35,,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,2,1,2,,,,NonCued1,MiniBlocks1,265661,,1,0,r,-999999,38,281220,b,544,281764,Green,Congruent,r,White,0,,0,38,276222,,0,0,,,,,,,,,,,,,Pictures\white.bmp,4000,2000,Pictures\GreenLeft.bmp,1,1,1,,,,,,,,,,StimulusPr,Pictures\black.bmp,NonCuedStim1,Left
POP_2,27009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">231735262625300</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,867860621,0,,-999999,6,30695,t,83492,114187,4/23/2014,15:21:35,,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,2,1,2,,,,NonCued1,MiniBlocks1,265661,,2,1,b,-999999,34,292214,b,426,292640,Green,Congruent,b,White,0,,0,15,285201,,0,0,,,,,,,,,,,,,Pictures\white.bmp,6000,16000,Pictures\black.bmp,2,1,2,,,,,,,,,,StimulusPr,Pictures\GreenRight.bmp,NonCuedStim1,Right
POP_2,27009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">231735262625300</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,867860621,0,,-999999,6,30695,t,83492,114187,4/23/2014,15:21:35,,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,2,1,2,,,,NonCued1,MiniBlocks1,265661,,3,1,r,-999999,33,317202,r,776,317978,Red,Incongruent,r,White,0,,0,19,310205,,0,0,,,,,,,,,,,,,Pictures\white.bmp,6000,10000,Pictures\black.bmp,3,1,3,,,,,,,,,,StimulusPr,Pictures\RedRight.bmp,NonCuedStim1,Right
POP_2,27009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">231735262625300</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,867860621,0,,-999999,6,30695,t,83492,114187,4/23/2014,15:21:35,,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,2,1,2,,,,NonCued1,MiniBlocks1,265661,,4,1,r,-999999,20,339191,r,417,339608,Green,Congruent,r,White,0,,0,18,329196,,0,0,,,,,,,,,,,,,Pictures\white.bmp,9000,10000,Pictures\GreenLeft.bmp,4,1,4,,,,,,,,,,StimulusPr,Pictures\black.bmp,NonCuedStim1,Left
POP_2,27009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">231735262625300</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,867860621,0,,-999999,6,30695,t,83492,114187,4/23/2014,15:21:35,,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,2,1,2,,,,NonCued1,MiniBlocks1,265661,,5,1,b,-999999,14,355200,b,580,355780,Green,Congruent,b,White,0,,0,16,351202,,0,0,,,,,,,,,,,,,Pictures\white.bmp,3000,2000,Pictures\black.bmp,5,1,5,,,,,,,,,,StimulusPr,Pictures\GreenRight.bmp,NonCuedStim1,Right
POP_2,27009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">231735262625300</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,867860621,0,,-999999,6,30695,t,83492,114187,4/23/2014,15:21:35,,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,2,1,2,,,,NonCued1,MiniBlocks1,265661,,6,1,b,-999999,26,364212,b,927,365139,Red,Incongruent,b,White,0,,0,12,359198,,0,0,,,,,,,,,,,,,Pictures\white.bmp,4000,16000,Pictures\RedLeft.bmp,6,1,6,,,,,,,,,,StimulusPr,Pictures\black.bmp,NonCuedStim1,Left
POP_2,27009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">231735262625300</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,867860621,0,,-999999,6,30695,t,83492,114187,4/23/2014,15:21:35,,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,2,1,2,,,,NonCued1,MiniBlocks1,265661,,7,1,b,-999999,14,386184,b,768,386952,Green,Congruent,b,White,0,,0,17,382203,,0,0,,,,,,,,,,,,,Pictures\white.bmp,3000,4000,Pictures\black.bmp,7,1,7,,,,,,,,,,StimulusPr,Pictures\GreenRight.bmp,NonCuedStim1,Right
POP_2,27009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">231735262625300</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,867860621,0,,-999999,6,30695,t,83492,114187,4/23/2014,15:21:35,,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,2,1,2,,,,NonCued1,MiniBlocks1,265661,,8,1,b,-999999,10,396196,b,428,396624,Green,Congruent,b,White,0,,0,9,392181,,0,0,,,,,,,,,,,,,Pictures\white.bmp,3000,4000,Pictures\black.bmp,8,1,8,,,,,,,,,,StimulusPr,Pictures\GreenRight.bmp,NonCuedStim1,Right
POP_2,27009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">231735262625300</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,867860621,0,,-999999,6,30695,t,83492,114187,4/23/2014,15:21:35,,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,2,1,2,,,,NonCued1,MiniBlocks1,265661,,9,1,b,-999999,18,412204,b,732,412936,Red,Incongruent,b,White,0,,0,23,402209,,0,0,,,,,,,,,,,,,Pictures\white.bmp,9000,2000,Pictures\RedLeft.bmp,9,1,9,,,,,,,,,,StimulusPr,Pictures\black.bmp,NonCuedStim1,Left
POP_2,27009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">231735262625300</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-04-23T22:21:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,867860621,0,,-999999,6,30695,t,83492,114187,4/23/2014,15:21:35,,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,2,1,2,,,,NonCued1,MiniBlocks1,265661,,10,1,r,-999999,13,423199,r,690,423889,Green,Congruent,r,White,0,,0,16,416202,,0,0,,,,,,,,,,,,,Pictures\white.bmp,6000,2000,Pictures\GreenLeft.bmp,10,1,10,,,,,,,,,,StimulusPr,Pictures\black.bmp,NonCuedStim1,Left
