ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,Session1Onset.ACC,Session1Onset.CRESP,Session1Onset.DurationError,Session1Onset.OnsetDelay,Session1Onset.OnsetTime,Session1Onset.RESP,Session1Onset.RT,Session1Onset.RTTime,SessionDate,SessionTime,SessionTimeUtc,Block,Procedure[Block],Running[Block],Session2Onset.ACC,Session2Onset.CRESP,Session2Onset.DurationError,Session2Onset.OnsetDelay,Session2Onset.OnsetTime,Session2Onset.RESP,Session2Onset.RT,Session2Onset.RTTime,SessionBreak.OnsetTime,SessionsList,SessionsList.Cycle,SessionsList.Sample,Trial,CuedPrompt1.OnsetTime,CuedPrompt2.OnsetTime,CuedPrompt3.OnsetTime,CuedPrompt4.OnsetTime,MiniBlocks1,MiniBlocks1.Cycle,MiniBlocks1.Sample,MiniBlocks2,MiniBlocks2.Cycle,MiniBlocks2.Sample,Procedure[Trial],Running[Trial],UncuedPrompt1.OnsetTime,UncuedPrompt2.OnsetTime,UncuedPrompt3.OnsetTime,UncuedPrompt4.OnsetTime,SubTrial,Arrow1.ACC,Arrow1.CRESP,Arrow1.DurationError,Arrow1.OnsetDelay,Arrow1.OnsetTime,Arrow1.RESP,Arrow1.RT,Arrow1.RTTime,ArrowColor,Congruence,CorrectResp,Cue,Cue.ACC,Cue.CRESP,Cue.DurationError,Cue.OnsetDelay,Cue.OnsetTime,Cue.RESP,Cue.RT,Cue.RTTime,CuedStim1,CuedStim1.Cycle,CuedStim1.Sample,CuedStim2,CuedStim2.Cycle,CuedStim2.Sample,CuedStim3,CuedStim3.Cycle,CuedStim3.Sample,CuedStim4,CuedStim4.Cycle,CuedStim4.Sample,CueImage,JitterCue,JitterTrial,LeftImage,NonCuedStim1,NonCuedStim1.Cycle,NonCuedStim1.Sample,NonCuedStim2,NonCuedStim2.Cycle,NonCuedStim2.Sample,NonCuedStim3,NonCuedStim3.Cycle,NonCuedStim3.Sample,NonCuedStim4,NonCuedStim4.Cycle,NonCuedStim4.Sample,Procedure[SubTrial],RightImage,Running[SubTrial],Stimulus
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,NonCued3,MiniBlocks2,,,57854,,1,1,b,-999999,11,77860,b,656,78516,Green,Congruent,b,White,0,,0,16,67865,,0,0,,,,,,,,,,,,,Pictures\white.bmp,9000,10000,Pictures\black.bmp,,,,,,,1,1,1,,,,StimulusPr,Pictures\GreenRight.bmp,NonCuedStim3,Right
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,NonCued3,MiniBlocks2,,,57854,,2,1,r,-999999,17,99866,r,660,100526,Red,Incongruent,r,White,0,,0,5,89854,,0,0,,,,,,,,,,,,,Pictures\white.bmp,9000,10000,Pictures\black.bmp,,,,,,,2,1,2,,,,StimulusPr,Pictures\RedRight.bmp,NonCuedStim3,Right
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,NonCued3,MiniBlocks2,,,57854,,3,1,r,-999999,8,116857,r,459,117316,Green,Congruent,r,White,0,,0,11,111860,,0,0,,,,,,,,,,,,,Pictures\white.bmp,4000,4000,Pictures\GreenLeft.bmp,,,,,,,3,1,3,,,,StimulusPr,Pictures\black.bmp,NonCuedStim3,Left
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,NonCued3,MiniBlocks2,,,57854,,4,1,b,-999999,3,129851,b,613,130464,Red,Incongruent,b,White,0,,0,5,122854,,0,0,,,,,,,,,,,,,Pictures\white.bmp,6000,4000,Pictures\RedLeft.bmp,,,,,,,4,1,4,,,,StimulusPr,Pictures\black.bmp,NonCuedStim3,Left
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,NonCued3,MiniBlocks2,,,57854,,5,1,b,-999999,14,139863,b,1095,140958,Green,Congruent,b,White,0,,0,16,135865,,0,0,,,,,,,,,,,,,Pictures\white.bmp,3000,2000,Pictures\black.bmp,,,,,,,5,1,5,,,,StimulusPr,Pictures\GreenRight.bmp,NonCuedStim3,Right
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,NonCued3,MiniBlocks2,,,57854,,6,1,r,-999999,9,148858,r,735,149593,Green,Congruent,r,White,0,,0,11,144860,,0,0,,,,,,,,,,,,,Pictures\white.bmp,3000,2000,Pictures\GreenLeft.bmp,,,,,,,6,1,6,,,,StimulusPr,Pictures\black.bmp,NonCuedStim3,Left
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,NonCued3,MiniBlocks2,,,57854,,7,1,b,-999999,5,159853,b,690,160543,Green,Congruent,b,White,0,,0,7,152856,,0,0,,,,,,,,,,,,,Pictures\white.bmp,6000,16000,Pictures\black.bmp,,,,,,,7,1,7,,,,StimulusPr,Pictures\GreenRight.bmp,NonCuedStim3,Right
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,NonCued3,MiniBlocks2,,,57854,,8,1,r,-999999,9,181858,r,1018,182876,Red,Incongruent,r,White,0,,0,11,177860,,0,0,,,,,,,,,,,,,Pictures\white.bmp,3000,2000,Pictures\black.bmp,,,,,,,8,1,8,,,,StimulusPr,Pictures\RedRight.bmp,NonCuedStim3,Right
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,NonCued3,MiniBlocks2,,,57854,,9,1,r,-999999,18,196867,r,635,197502,Green,Congruent,r,White,0,,0,7,186856,,0,0,,,,,,,,,,,,,Pictures\white.bmp,9000,10000,Pictures\GreenLeft.bmp,,,,,,,9,1,9,,,,StimulusPr,Pictures\black.bmp,NonCuedStim3,Left
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,1,,,,,,,,1,1,1,NonCued3,MiniBlocks2,,,57854,,10,1,r,-999999,9,215858,r,681,216539,Green,Congruent,r,White,0,,0,12,208861,,0,0,,,,,,,,,,,,,Pictures\white.bmp,6000,4000,Pictures\GreenLeft.bmp,,,,,,,10,1,10,,,,StimulusPr,Pictures\black.bmp,NonCuedStim3,Left
POP_2,27040,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793040000</Frequency><Timestamp dt:dt=""r8"">1.08044709683149E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-06-08T01:01:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.03,1,1387177507,0,,-999999,15,15025,t,42824,57849,6/7/2014,18:01:02,1:01:02 AM,1,Session1,SessionsList,,,,,,,,,,1,1,1,2,,,220555,,,,,2,1,2,Cued3,MiniBlocks2,,,,,1,1,b,-999999,17,234865,b,652,235517,White,Congruent,b,Green,0,,0,2,230850,,0,0,,,,,,,1,1,1,,,,Pictures\green.bmp,3000,2000,Pictures\black.bmp,,,,,,,,,,,,,StimulusPr,Pictures\right.bmp,CuedStim3,Right
